#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-21T22:16:18 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63f538223f64d9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/649/A6&tab:{J/A+A/649/A6/table1c}&key:source=J/A+A/649/A6/table1c&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/649/A6/table1c
#-order=I
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=Gmag
#Gmag=<17
#-out=BPmag
#-out=RPmag
#Dist50=<0.01
#GAIAEDR3Cat=GAIAEDR3Cat
#

#RESOURCE=yCat_36490006
#Name: J/A+A/649/A6
#Title: Gaia Catalogue of Nearby Stars - GCNS (Gaia collaboration, 2021)
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_649_A6_table1c:
#Name: J/A+A/649/A6/table1c
#Title: Selected objects
#Column	RA_ICRS	(F11.7)	Right ascension (ICRS) at Ep=2016.0 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.7)	Declination (ICRS) at Ep=2016.0 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F9.3)	Parallax (parallax)	[ucd=pos.parallax]
#Column	Gmag	(F8.4)	? Gaia G Band magnitude (phot_g_mean_mag)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F8.4)	? Gaia BP Band magnitude (phot_bp_mean_mag)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F8.4)	? Gaia RP Band magnitude (phot_rp_mean_mag)	[ucd=phot.mag;stat.mean;em.opt.R]
RA_ICRS|DE_ICRS|Plx|Gmag|BPmag|RPmag
deg|deg|mas|mag|mag|mag
-----------|-----------|---------|--------|--------|--------
077.1483745|-18.1782731|  108.325|  9.0549| 10.5505|  7.8417
077.9599374|-45.0438127|  254.199|  8.0636|  9.0862|  7.0596
082.8675411|-03.6865276|  175.313|  7.1083|  8.1914|  6.0695
085.5477076|+12.4823599|  172.676| 10.1138| 11.7436|  8.8737
086.1091037|-22.4234045|  112.466|  5.8682|  6.3658|  5.2084
086.1143912|-22.4500234|  112.296|  3.4768|  3.7969|  3.0440
088.5948242|+20.2758521|  114.950|  4.2417|  4.5441|  3.7479
088.7920956|-04.1789271|  155.237| 14.2367| 14.7266| 13.5930
089.1040982|+05.3593447|  123.199| 13.9674| 14.2963| 13.4654
090.0159764|+02.7063741|  192.013|  9.9013| 11.5446|  8.6543
090.2951014|+59.5930628|  129.301| 10.4172| 11.9877|  9.1965
090.6221076|+49.8618210|  104.959| 12.6815| 14.7497| 11.3450
091.2174252|-34.5584128|  115.398| 11.1121| 13.1743|  9.7740
092.5843217|+82.1008163|  105.690|  9.4701| 10.7199|  8.3569
092.6435791|-21.8678231|  173.574|  7.3135|  8.3658|  6.2916
096.1746889|+23.4307786|  117.726| 11.6625| 13.3686| 10.4085
097.6929269|-76.7170046|  112.658| 13.2159| 15.2877| 11.3995
097.6944707|-76.7169133|  112.599| 13.4456|        |
098.4249869|-75.6287409|  113.130|  9.3847| 10.6943|  8.2456
098.4389696|-75.6238039|  113.132| 10.2122| 11.6774|  9.0249
101.2866255|-16.7209325|  374.490|  8.5241|  8.1204|  8.3988
103.0726010|-05.1900697|  114.291|  9.0975| 10.3257|  7.9959
103.0727843|-05.1737283|  114.355|  6.2311|  6.7950|  5.5181
103.7001292|+33.2664080|  179.063|  8.8636| 10.2567|  7.6955
104.4364719|-44.2916513|  124.357| 10.3820| 11.8002|  9.1604
104.4373295|-44.2913961|  124.570| 10.4182| 11.8235|  9.1887
104.8743512|+19.3448737|  128.987| 12.7764| 15.1276| 11.3909
105.9871629|+52.6977273|  110.826| 11.6991| 13.5980| 10.3877
107.5051434|+38.5252694|  165.215|  9.9347| 11.7478|  8.6419
111.8546284|+05.2093827|  264.127|  8.5764| 10.1117|  7.3539
115.0462604|-42.9589488|  125.303| 12.0308| 14.0734| 10.6999
115.0860830|-17.4151377|  109.254| 13.9569| 16.8854| 12.5060
115.0919234|-17.4160661|  109.344| 12.9702| 13.0894| 12.7477
116.1658359|+03.5504844|  166.977|  9.6922| 11.4169|  8.4199
117.9789684|-00.0067691|  107.849| 11.6535| 13.4792| 10.3634
118.3011845|-67.7986724|  122.413| 13.7775| 14.1209| 13.2616
119.5542083|+41.3006425|  112.993| 10.6656| 12.2395|  9.4479
122.9946826|+08.7504015|  147.722| 11.3973| 13.1301| 10.1380
123.1704350|-21.5550240|  123.203| 10.6717| 12.3634|  9.4162
123.7971966|-23.7373938|  101.041| 11.0594| 12.5998|  9.8245
124.0315831|+01.3028427|  111.870|  9.1332| 10.3376|  8.0399
127.4500924|+26.7732860|  279.250| 12.1675| 15.1030| 10.7055
130.3315904|+59.4916587|  105.294| 13.0823| 15.3833| 11.7121
130.3795014|-32.9364950|  117.396| 11.8224| 11.9007| 11.6703
133.3983684|-03.4931644|  115.488| 15.8889| 19.1100| 14.3517
134.5586915|+19.7625789|  196.262| 12.4856| 15.0630| 11.0246
134.5591897|+19.7629598|  194.144| 11.9663| 14.3240| 10.5470
135.0956433|+21.8320626|  157.269| 13.4131| 16.3512| 11.9516
138.5835616|+52.6840802|  157.888|  6.9760|  7.8634|  6.0461
138.5913118|+52.6834294|  157.882|  7.0545|  7.9594|  6.1130
139.2855876|-77.8267470|  105.034| 11.5566| 13.4094| 10.2581
142.6832435|+00.3202232|  100.903| 10.5018| 11.9665|  9.3150
144.0074851|-21.6652009|  105.979|  9.8917| 11.1694|  8.7732
144.9400958|-41.0659700|  104.096|  9.6314| 11.0035|  8.4710
145.6921601|-68.8799854|  153.759| 11.1333| 12.9938|  9.8397
146.1213719|-45.7790974|  106.173|  9.1588| 10.3735|  8.0582
148.4782397|+20.9480792|  104.764| 12.3635| 14.2604| 11.0620
152.8329290|+49.4519889|  205.315|  5.9612|  6.7884|  5.0661
153.0729373|-03.7467476|  129.754|  8.3318|  9.4917|  7.2572
173.6232785|-32.8303173|  104.657| 14.5483| 14.9178| 13.9808
154.8988137|+19.8698099|  201.406|  8.2041|  9.5972|  7.0326
157.2287834|+00.8377469|  142.095|  8.6760|  9.8777|  7.5822
161.0852755|-61.2026383|  206.970| 11.8594| 14.1555| 10.4741
162.0538877|-39.9396259|  247.216| 14.0059| 17.6170| 12.4634
162.0551840|-11.3428033|  219.330| 12.8374| 15.9407| 11.3599
162.4362873|+35.5428696|  102.752| 11.6253| 13.2896| 10.3235
162.7129641|+06.8044895|  143.539| 10.2908| 11.9195|  9.0502
164.1031903|+07.0027269|  415.179| 11.0384| 13.7703|  9.5854
165.0156786|+22.8317023|  148.199|  8.9770| 10.2753|  7.8457
165.8309597|+35.9486530|  392.753|  6.5512|  7.6911|  5.4755
166.3420597|+43.5309486|  203.888|  7.9127|  8.9820|  6.8779
166.3520897|+43.5259076|  203.832| 12.2573| 14.7097| 10.8548
169.9881037|+65.8472979|  110.231|  8.5276|  9.4977|  7.5461
173.6193151|-32.8276846|  104.613|  5.7383|  6.1542|  5.1502
173.8619077|-32.5437482|  110.171|  8.8967| 10.0373|  7.8297
174.5279650|-77.3607589|  119.342| 12.8162| 15.0453| 11.4569
175.2625005|+34.1999396|  104.425|  5.1110|  5.4872|  4.5812
175.3423499|-36.4082149|  115.083| 11.5837| 13.3544| 10.3073
175.5506755|+26.7029540|  102.301|  9.5820| 10.8930|  8.4438
176.4566466|-64.8430528|  215.675| 11.4231| 11.5158| 11.2300
176.6205206|-40.4985651|  107.302|  4.7017|  5.0517|  4.1954
176.6272383|-40.4948621|  107.424| 11.7247| 13.3821| 10.4730
176.9376880|+00.7991200|  296.305|  9.6010| 11.3610|  8.3278
176.9394080|+78.6932975|  190.325|  9.5513| 11.0493|  8.3473
177.7301638|+48.3730998|  124.338| 11.6847| 13.5294| 10.3874
177.7790819|+35.2731396|  114.085|  8.8540|  9.9673|  7.8048
178.2673532|+37.6928269|  109.030|  6.1985|  6.6074|  5.6058
179.8561531|-52.7891614|  105.705| 16.0393| 19.5906| 14.4583
183.5647256|+00.6227271|  123.643| 11.8287| 13.8594| 10.4906
184.7417473|+11.1269524|  154.700| 11.9261| 14.1005| 10.5672
186.2238895|-18.2525560|  112.674| 10.2900| 11.5370|  9.1794
188.3144928|+09.0220916|  231.118| 11.2351| 12.9160|  9.3818
188.3146768|+09.0218292|  223.477| 11.2402| 13.0375|  9.5396
188.4314284|+41.3587767|  118.027|  4.0947|  4.3963|  3.6018
189.4600973|-52.0013463|  105.347|  9.5650| 10.9060|  8.4166
189.7008054|-38.3874091|  150.078| 11.2262| 13.0106|  9.9516
190.1880753|-43.5633220|  124.185| 10.9835| 12.4602|  9.7970
191.9813888|+09.7493542|  123.776| 10.1051| 11.6426|  8.8883
194.7766446|-43.6079636|  129.429| 14.8337| 18.2765| 13.3080
195.1354745|+05.6865669|  117.033| 11.7729| 13.6556| 10.4682
197.9642816|+27.8821054|  108.725|  4.0933|  4.3877|  3.6256
199.5962981|-18.3159221|  117.173|  4.5325|  4.9047|  4.0062
202.5042016|+10.3723896|  131.101|  8.2053|  9.2667|  7.1788
204.1160794|+03.6744793|  119.757| 14.3747| 14.8701| 13.7218
205.6796934|+33.2869239|  108.790| 10.7199| 12.2643|  9.4993
206.4405658|+14.8850527|  183.996|  7.6106|  8.6843|  6.5694
209.5565064|+12.5820635|  106.840| 11.0512| 12.5237|  9.8632
210.9624810|-42.6993470|  100.603| 11.6952| 13.3671| 10.4508
212.9953989|-41.5397220|  109.732| 13.4191| 15.9224| 11.9913
217.3923215|-62.6760751|  768.067|  8.9847| 11.3731|  7.5685
217.6503358|+59.7242739|  100.311| 14.8437| 18.1480| 13.3511
218.5684318|-12.5169239|  159.923|  9.8950| 11.5694|  8.6462
222.8466427|+19.1011041|  148.179|  6.4301|  7.1330|  5.6151
222.8480515|+19.1002696|  148.069|  4.4805|  4.8695|  3.9444
224.1569595|-28.1672542|  141.789| 14.0611| 17.3351| 12.5662
224.3715943|-21.4231404|  169.884|  5.3640|  5.9606|  4.6370
229.8563013|-07.7227070|  158.718|  9.4218| 10.8134|  8.2518
232.6255600|+09.4345514|  116.042| 13.0703| 15.3960| 11.6908
233.0469274|-41.2801741|  168.997|  8.2742|  9.5668|  7.1392
235.1951775|-51.0281013|  187.729| 12.7359| 15.5150| 11.2888
235.5177770|-19.4763667|  103.180| 10.6859| 12.1117|  9.5017
245.0093512|-37.5254096|  117.679| 12.8980| 14.9468| 11.4449
245.0104221|-37.5246104|  117.472|  9.4954| 10.8361|  8.3476
246.3558883|+54.3033387|  154.350|  9.1398| 10.3453|  8.0499
247.5748142|-12.6678511|  232.139|  8.8019| 10.3223|  7.5907
249.0914023|-02.3259613|  101.072|  5.5536|  5.9706|  4.9560
251.2762477|+33.5109248|  101.561|  7.4862|  8.3014|  6.6019
253.8514203|-08.3265763|  153.875| 10.4445| 12.0057|  9.2272
253.8932463|-08.3985230|  153.966| 13.8133| 17.0532| 12.3242
254.2760477|-04.3506493|  114.916| 10.9134| 12.5191|  9.6820
255.8504025|+51.4090642|  100.927| 11.9810| 13.8475| 10.6867
257.3834721|+43.6801058|  131.600| 10.4532| 12.0840|  9.2067
258.8341202|-26.6068066|  168.003|  4.8313|  5.2874|  4.2291
258.8351170|-26.6078978|  168.130|  4.8286|  5.2826|  4.2228
259.0532941|-26.5511461|  167.962|  5.8899|  6.5310|  5.1161
259.7512527|-34.9977951|  138.066|  9.3862| 10.5884|  8.2945
259.7685325|-46.6363596|  113.286|  7.9870|  9.0009|  6.9759
259.7726543|-46.6357584|  113.751|  5.3014|  5.7088|  4.7347
261.4358875|+02.1061578|  129.646|  6.9345|  7.7548|  6.0471
262.1701639|-46.8991049|  219.646|  8.3364|  9.6582|  7.1934
263.8059467|-48.6778040|  103.203| 11.6138| 13.2050| 10.3566
263.8072370|-48.6787774|  103.308|  9.2936| 10.4801|  8.2082
264.1040526|+68.3334976|  219.790|  8.0286|  9.3852|  6.8671
264.2608874|-44.3233822|  199.694|  9.6022| 11.2452|  8.3403
264.4766237|+18.5960877|  122.555|  8.7429|  9.8210|  7.7108
265.9832423|+43.3759302|  104.915|  9.4501| 10.7263|  8.3285
266.6026936|+27.7138206|  120.398|  9.5859| 10.0577|  7.4465
266.6028614|+27.7137374|  119.887|  9.1850| 10.0553|  7.4540
266.6132135|+27.7172750|  119.925|  3.2384|  3.7438|  2.7218
266.6334445|-57.3250618|  169.804|  9.5923| 11.0010|  8.4163
267.0161229|+70.8815738|  160.995| 13.7782| 14.1791| 13.1762
269.4485025|+04.7394201|  546.976|  8.1940|  9.7918|  6.9581
270.5711928|+64.2605836|  128.306| 11.7581| 13.7073| 10.4484
271.2841138|-03.0327980|  129.218|  8.5194|  9.6025|  7.4829
271.3644538|+02.4952241|  195.567|  3.9874|  4.4094|  3.4058
271.3659116|+02.4941988|  195.856|  5.5392|  6.2211|  4.7355
